Category,Subcategory,Product Ratings,Brand Name,Review Sentiment,Review,#of Positive Sentences,#of Neutral Sentences,#of Negative Sentences,Positive Sentences,Neutral Sentences,Negative Sentences,Aspect,Review Aspect Sentiment
ELECTRONICS,LAPTOPS,5,ASUS,positive,  Great,7,0,0,  Great,,,"Cargo
Originalty
Packaging
Quality",{}
ELECTRONICS,LAPTOPS,5,Acer,positive,"  I had the smaller Acer Chromebook for several years and loved it. It survived a tumble down the stairs, an orange juice bath  and finally succumbed when I dropped it and then stepped on it while on vacation. I bought this laptop based on the performance of the smaller one. The speed is more than adequate and, unlike some computers, is intuitive to operate. This one has dual speakers on the top of the unit which I thought were lousy until I saw that they were covered with a protective plastic layer! For my listening these are more than adequate. The bigger screen is really a plus; when I do a lot of reading I don't have to strain my eyes and it will be more fun to watch a movie. I am amazed that this computer costs less than the smaller one I bought several years ago. Definitely a great buy!",592,65,144,"  I had the smaller Acer Chromebook for several years and loved it.
It survived a tumble down the stairs, an orange juice bath  and finally succumbed when I dropped it and then stepped on it while on vacation.
The speed is more than adequate and, unlike some computers, is intuitive to operate.
For my listening these are more than adequate.
The bigger screen is really a plus; when I do a lot of reading I don't have to strain my eyes and it will be more fun to watch a movie.
I am amazed that this computer costs less than the smaller one I bought several years ago.
Definitely a great buy!",I bought this laptop based on the performance of the smaller one.,This one has dual speakers on the top of the unit which I thought were lousy until I saw that they were covered with a protective plastic layer!,"Cargo
Originalty
Packaging
Quality",{'BUY': ['GREAT']}
ELECTRONICS,LAPTOPS,5,Apple,positive,"  UPDATE 12-15-2020 - After three weeks, I'm still really impressed with the M1 MacBook Air/8 Core CPU/8 Core GPU/512 SSD/8GB RAM. --- My updated plea: MAKE SURE YOU GET AS MUCH MEMORY & STORAGE AS YOU CAN AFFORD. SPECIAL ORDER ONE TO YOUR PROJECTED FUTURE NEED!Remember, Macs live a very long time and the value it holds will depend on how usable it will be to you or someone else in 5 or even 10 years. Not that long ago, 80 GB hard drives were HUGE... and UPGRADABLE. RAM was upgradable. The SSD and the RAM in these machines is NOT upgradable.The one issue for me has been that I am a memory hog! I tend to have LOTS of tabs open at once (I've caught myself with 50 (Safari) open in one browser and 39 (Chrome) in another!), while running Affinity/Final Cut Pro - and YES, the dreaded Beach Ball has reared it's ugly head. Well, this got me to assess what I will be using the machine for and for how long.Storage can be added with external drives, slower, but it will let you scrape by. RAM is another story. When you constantly use up RAM, the system starts using ""swap memory"" where it uses the SSD to store temporary files. One of the YouTube reviewers (Created Labs) explains it like this: RAM memory is like writing on a white board, it's made to be temporary. Writing to the SSD is like writing on paper with a pencil. It can be erased, but if it's written on and erased for too long, it's going to degrade the medium. It will take years for this to cause problems, but keep in mind that in these M1 MacBooks, none of the parts are replaceable. The SSD and the RAM are soldered onto the board.***As ridiculously expensive as Apple RAM is, when it's not upgradable, get the maximum, in this case, 16 GB.I really doubt that Apple will be making machines with user upgradable RAM after the switch from Intel is complete, except for possibly the very high end Pro models.There is also the fact that if I am going to be doing a decent amount of video editing, a M1 with a fan will be helpful. Upgrading to the cheaper ($699+Upgrades) M1 Mac mini would be the cheapest way to get better performance for the Pro Apps, but I need a laptop, so... So, that is why I'm planning to return this machine and get one (likely the MacBook Pro M1), with 16 GB RAM & 1 TB SSD.***A note on browsers, Safari is by far the BEST browser to run on the M1, at least for now. I always had issues with saving web pages as PDF files in Chrome, where it did not save most of the images/text on the page. In Safari, it's worked perfectly.------I purchased the MacBook Air M1, 8 core GPU, and 8 core CPU model, with 512 GB SSD and 8 GB RAM in person at the Apple Store (11-20-2020), with education pricing. I traded in my (MNYH2LL/A) - 2017 12"" Macbook with the Intel M3 processor, 256 GB SSD, 8 GB Ram. I kept my charging adapter & C-cable (which are both compatible with the M1 Late 2020 Macbook Air), so ended up with a $330 Apple Store instant credit towards the M1.The M1 model has blown me away with its speed and smooth running with a large number of apps open, including Final Cut & Logic Pro. Admittedly the 2017 MB was the bottom of the line and I suffered under frequent overheating issues with too many things open and the single C-port fiasco.I likely would have gone with the 7 core GPU model if one had been in stock at the time of purchase, but I wanted 512 GB of SSD space, so I paid more by going with eh 8 core. From everything that I've seen, the lack of more RAM upgrades is not nearly as important as it was with the Intel x86 processors and is really only useful when you have many GPU intensive ""Pro Apps"" running at the same time.I would never have dreamed of running Final Cut or Logic Pro on the 2017 Macbook, so this has been an amazing upgrade for me.I would say that the bottom line is that if you're someone who only uses a laptop for office & basic web surfing and only has a few tabs open at once, and you never experience overheating or the dreaded beach ball ""not responding"" issues, or if you have non-Apple programs that have not been compiled for the M1 chip, hold off on the upgrade until more apps run natively on the M1. If however, you really need a machine that is MUCH more capable, faster and cooler running than the Intel models, it's a solid buy and an amazing upgrade from any non-upgradable Mac.",1490,1257,1577,"  UPDATE 12-15-2020 - After three weeks, I'm still really impressed with the M1 MacBook Air/8 Core CPU/8 Core GPU/512 SSD/8GB RAM.
--- My updated plea: MAKE SURE YOU GET AS MUCH MEMORY & STORAGE AS YOU CAN AFFORD.
SPECIAL ORDER ONE TO YOUR PROJECTED FUTURE NEED!Remember, Macs live a very long time and the value it holds will depend on how usable it will be to you or someone else in 5 or even 10 years.
Well, this got me to assess what I will be using the machine for and for how long.Storage can be added with external drives, slower, but it will let you scrape by.
One of the YouTube reviewers (Created Labs) explains it like this: RAM memory is like writing on a white board, it's made to be temporary.
Writing to the SSD is like writing on paper with a pencil.
Upgrading to the cheaper ($699+Upgrades) M1 Mac mini would be the cheapest way to get better performance for the Pro Apps, but I need a laptop, so...
***A note on browsers, Safari is by far the BEST browser to run on the M1, at least for now.
I kept my charging adapter & C-cable (which are both compatible with the M1 Late 2020 Macbook Air), so ended up with a $330 Apple Store instant credit towards the M1.The M1 model has blown me away with its speed and smooth running with a large number of apps open, including Final Cut & Logic Pro.
If however, you really need a machine that is MUCH more capable, faster and cooler running than the Intel models, it's a solid buy and an amazing upgrade from any non-upgradable Mac.","RAM was upgradable.
The SSD and the RAM in these machines is NOT upgradable.The one issue for me has been that I am a memory hog!
I tend to have LOTS of tabs open at once (I've caught myself with 50 (Safari) open in one browser and 39 (Chrome) in another!
RAM is another story.
When you constantly use up RAM, the system starts using ""swap memory"" where it uses the SSD to store temporary files.
The SSD and the RAM are soldered onto the board.
***As ridiculously expensive as Apple RAM is, when it's not upgradable, get the maximum, in this case, 16 GB.I really doubt that Apple will be making machines with user upgradable RAM after the switch from Intel is complete, except for possibly the very high end Pro models.There is also the fact that if I am going to be doing a decent amount of video editing, a M1 with a fan will be helpful.
So, that is why I'm planning to return this machine and get one (likely the MacBook Pro M1), with 16 GB RAM & 1 TB SSD.
In Safari, it's worked perfectly.------I purchased the MacBook Air M1, 8 core GPU, and 8 core CPU model, with 512 GB SSD and 8 GB RAM in person at the Apple Store (11-20-2020), with education pricing.
I traded in my (MNYH2LL/A) - 2017 12"" Macbook with the Intel M3 processor, 256 GB SSD, 8 GB Ram.","Not that long ago, 80 GB hard drives were HUGE... and UPGRADABLE.
), while running Affinity/Final Cut Pro - and YES, the dreaded Beach Ball has reared it's ugly head.
It can be erased, but if it's written on and erased for too long, it's going to degrade the medium.
It will take years for this to cause problems, but keep in mind that in these M1 MacBooks, none of the parts are replaceable.
I always had issues with saving web pages as PDF files in Chrome, where it did not save most of the images/text on the page.
Admittedly the 2017 MB was the bottom of the line and I suffered under frequent overheating issues with too many things open and the single C-port fiasco.I likely would have gone with the 7 core GPU model if one had been in stock at the time of purchase, but I wanted 512 GB of SSD space, so I paid more by going with eh 8 core.
From everything that I've seen, the lack of more RAM upgrades is not nearly as important as it was with the Intel x86 processors and is really only useful when you have many GPU intensive ""Pro Apps"" running at the same time.I would never have dreamed of running Final Cut or Logic Pro on the 2017 Macbook, so this has been an amazing upgrade for me.I would say that the bottom line is that if you're someone who only uses a laptop for office & basic web surfing and only has a few tabs open at once, and you never experience overheating or the dreaded beach ball ""not responding"" issues, or if you have non-Apple programs that have not been compiled for the M1 chip, hold off on the upgrade until more apps run natively on the M1.","Cargo
Originalty
Packaging
Quality","{'ORDER': ['SPECIAL'], 'DRIVE': ['HARD', 'HUGE'], 'BEACH': ['DREAD'], 'HEAD': ['UGLY'], 'M1': ['HELPFUL'], 'PERFORMANCE': ['GOOD'], 'BROWSER': ['GOOD'], 'CREDIT': ['INSTANT'], 'NUMBER': ['LARGE'], 'CUT': ['FINAL'], 'FIASCO': ['SINGLE'], 'LACK': ['NOT USEFUL', 'NOT IMPORTANT'], 'UPGRADE': ['AMAZING'], 'BUY': ['SOLID']}"
ELECTRONICS,LAPTOPS,5,Dell,positive,"  This is a perfect lil Chromebook.. With expandable storage.. 2 HDMI ports.. Clear bright screen, not touchscreen... I've had two other Chromebooks in the past and prefer these,, tried doing a tablet but they failed compared to this...I will always recommend a Chromebook",117,0,154,"  This is a perfect lil Chromebook.. With expandable storage.. 2 HDMI ports.. Clear bright screen, not touchscreen...",,"I've had two other Chromebooks in the past and prefer these,, tried doing a tablet but they failed compared to this...I will always recommend a Chromebook","Cargo
Originalty
Packaging
Quality","{'CHROMEBOOK': ['PERFECT'], 'SCREEN': ['CLEAR', 'BRIGHT'], 'TOUCHSCREEN': ['CLEAR', 'BRIGHT']}"
ELECTRONICS,LAPTOPS,5,HP,positive,"  I chose this chrome book because the case and keys are white. It matches nicely with my air pods and silver/white iPhone 8 Plus. I was able to match a white mouse from Amazon, too. Goes nice with my white decor and vanity table.The chrome book streams well (I mainly use it for streaming YouTube and movies). Excellent battery life.Small Cons: the chrome book is a bit heavy (I have an Acer Spin chrome book and it's not as heavy). But I plan to mainly use this at home. Also, the screen gets ‘darker' (but still decent) when you view at an angle like if you're sharing watching with a friend or two.There is a touch screen version of this chrome book but I chose not to buy that one because I don't want my little children to keep tapping the screen to stop, start or change my videos. They already mess with the mouse and keyboard enough 😅Seems sturdy. Happy with my purchase 🥰",710,102,67,"It matches nicely with my air pods and silver/white iPhone 8 Plus.
I was able to match a white mouse from Amazon, too.
Goes nice with my white decor and vanity table.The chrome book streams well (I mainly use it for streaming YouTube and movies).
Excellent battery life.Small Cons: the chrome book is a bit heavy (I have an Acer Spin chrome book and it's not as heavy).
Also, the screen gets ‘darker' (but still decent) when you view at an angle like if you're sharing watching with a friend or two.There is a touch screen version of this chrome book but I chose not to buy that one because I don't want my little children to keep tapping the screen to stop, start or change my videos.
Happy with my purchase 🥰","  I chose this chrome book because the case and keys are white.
But I plan to mainly use this at home.",They already mess with the mouse and keyboard enough 😅Seems sturdy.,"Cargo
Originalty
Packaging
Quality","{'VANITY': ['WHITE'], 'LIFE': ['EXCELLENT']}"
ELECTRONICS,LAPTOPS,5,Lenovo,positive,"  I purchased this as a gift for my niece who is a high school student and this has worked very well for her for the last couple of months.  For surfing the web using MS Office Suite to do homework, essays, presentations, etc. this is a wonderful little machine. Feels o f very good quality for the price. I don't think you can add more ram but I haven't checked, if you could this would be awesome. So for a basic use like a student for example this laptop is good at this price point.",399,85,0,"  I purchased this as a gift for my niece who is a high school student and this has worked very well for her for the last couple of months.
this is a wonderful little machine.
Feels o f very good quality for the price.
I don't think you can add more ram but I haven't checked, if you could this would be awesome.
So for a basic use like a student for example this laptop is good at this price point.","For surfing the web using MS Office Suite to do homework, essays, presentations, etc.",,"Cargo
Originalty
Packaging
Quality","{'MACHINE': ['WONDERFUL'], 'QUALITY': ['GOOD'], 'LAPTOP': ['GOOD']}"
ELECTRONICS,LAPTOPS,5,MICROSOFT,positive,"  I think the Surface Go is a fantastic device if you don't set your expectations unreasonably high. For reference, I got the 64GB base model, a black type cover, and a Surface pen.After unboxing, setup takes slightly longer than ""just a moment"" as the device likes to say, but if you've already got a Windows 10 device, it's pretty quick and easy. Following the initial startup, the device will need to download a variety of updates, but within 2 hours or so mine was fully up to date after multiple installations, restarts, etc... standard computer update affairs.I switched it out of ""S mode"" almost immediately, because I didn't want to be bootstrapped to the Microsoft store, and it's nice that they give you the option. It doesn't require any restart or anything, and allows you to install apps from anywhere.Regarding performance, I have done email, lots of internet browsing and video watching, movies, drawing, and light photo editing and social networking. The device is not lightning fast and it doesn't need to be. It rarely lags more than a second or 2 to open programs but if you're used to a higher performing desktop or laptop then you will notice. The glossy screen is beautiful and photos and videos look great. There are front firing speakers that sound pretty decent but not much better than your average smartphone speakers, but this is understandable. The device makes zero noise as well, no fans or spinning disks are present here and it rarely gets hot to the touch.Really any light duty thing you would do on a normal Windows 10 PC can be done here. And that's where this thing shines, it's versatility is just head and shoulders above laptops because of how wonderfully portable it is. It feels sturdy, good in the hand or in the lap, and the fully adjustable kickstand is magnificent. In my opinion, the add on keyboard is absolutely essential. It clips on quickly and easily with nice strong magnets. The keys are small and take some getting used to, but having a full keyboard with back-lighting in this form factor is amazing. They are far better than on screen typing. The trackpad is also wonderful, it looks silly large on there but that is a good thing. It's responsive and has a nice clicky feeling.I don't think that the Surface Pen is nearly as essential, but it is fun and works excellent. I could see myself using it for casual note taking, there is virtually no noticeable lag.The charger the device comes with has a proprietary port, but you can also charge it via USB-C, which is great if you have a phone with that port, because you only need one charger while you travel.The only things worth complaining about on this device are made up for by its sturdy build and excellent functionality. It makes a fantastic bridge between the smartphone and PC, perfect for when a smartphone just isn't enough and a full size PC is too much. You don't even need to stow it during takeoff and landing on planes!!! So, set your expectations to a realistic level and the Surface Go, even the base model, will meet them.As an added bonus personally, the Surface Go has helped me use my smartphone less, to the point that I removed most social media from my phone. When you don't have Facebook and Instagram in your pocket at all times, it is pretty amazing how quickly you realize how often you used to mindlessly scroll through your feeds. So you could say it has made me more mindful of my screen time and helped me leave both it and my phone in my pocket or out of reach more often, which we could all use a break from now and then.One more thing... this one is just a tip. Don't buy office! This device has a small enough screen that it qualifies for the free version of MS Office Mobile. Search online for how to get them!UPDATE 2/4/19: I've owned this for several months now and have had zero issues. Changing out of S mode and installing Chrome and other non-Windows store programs has been no problem, no noticeable impact to memory usage or performance. Battery life is still good, just a great little device to have.",2753,1000,299,"  I think the Surface Go is a fantastic device if you don't set your expectations unreasonably high.
For reference, I got the 64GB base model, a black type cover, and a Surface pen.After unboxing, setup takes slightly longer than ""just a moment"" as the device likes to say, but if you've already got a Windows 10 device, it's pretty quick and easy.
Following the initial startup, the device will need to download a variety of updates, but within 2 hours or so mine was fully up to date after multiple installations, restarts, etc... standard computer update affairs.I switched it out of ""S mode"" almost immediately, because I didn't want to be bootstrapped to the Microsoft store, and it's nice that they give you the option.
It rarely lags more than a second or 2 to open programs but if you're used to a higher performing desktop or laptop then you will notice.
The glossy screen is beautiful and photos and videos look great.
And that's where this thing shines, it's versatility is just head and shoulders above laptops because of how wonderfully portable it is.
It feels sturdy, good in the hand or in the lap, and the fully adjustable kickstand is magnificent.
It clips on quickly and easily with nice strong magnets.
The keys are small and take some getting used to, but having a full keyboard with back-lighting in this form factor is amazing.
They are far better than on screen typing.
The trackpad is also wonderful, it looks silly large on there but that is a good thing.
It's responsive and has a nice clicky feeling.I don't think that the Surface Pen is nearly as essential, but it is fun and works excellent.
I could see myself using it for casual note taking, there is virtually no noticeable lag.The charger the device comes with has a proprietary port, but you can also charge it via USB-C, which is great if you have a phone with that port, because you only need one charger while you travel.The only things worth complaining about on this device are made up for by its sturdy build and excellent functionality.
It makes a fantastic bridge between the smartphone and PC, perfect for when a smartphone just isn't enough and a full size PC is too much.
So, set your expectations to a realistic level and the Surface Go, even the base model, will meet them.As an added bonus personally, the Surface Go has helped me use my smartphone less, to the point that I removed most social media from my phone.
When you don't have Facebook and Instagram in your pocket at all times, it is pretty amazing how quickly you realize how often you used to mindlessly scroll through your feeds.
This device has a small enough screen that it qualifies for the free version of MS Office Mobile.
Battery life is still good, just a great little device to have.","It doesn't require any restart or anything, and allows you to install apps from anywhere.Regarding performance, I have done email, lots of internet browsing and video watching, movies, drawing, and light photo editing and social networking.
The device is not lightning fast and it doesn't need to be.
The device makes zero noise as well, no fans or spinning disks are present here and it rarely gets hot to the touch.Really any light duty thing you would do on a normal Windows 10 PC can be done here.
In my opinion, the add on keyboard is absolutely essential.
You don't even need to stow it during takeoff and landing on planes!!!
So you could say it has made me more mindful of my screen time and helped me leave both it and my phone in my pocket or out of reach more often, which we could all use a break from now and then.One more thing... this one is just a tip.
Don't buy office!
Search online for how to get them!UPDATE 2/4/19: I've owned this for several months now and have had zero issues.","There are front firing speakers that sound pretty decent but not much better than your average smartphone speakers, but this is understandable.
Changing out of S mode and installing Chrome and other non-Windows store programs has been no problem, no noticeable impact to memory usage or performance.","Cargo
Originalty
Packaging
Quality","{'DEVICE': ['FANTASTIC', 'GREAT'], 'SCREEN': ['BEAUTIFUL'], 'FAN': ['PRESENT'], 'THING': ['GOOD', 'WORTH'], 'KICKSTAND': ['MAGNIFICENT'], 'MAGNET': ['STRONG', 'NICE'], 'KEY': ['AMAZING'], 'TRACKPAD': ['WONDERFUL'], 'FEELING': ['CLICKY', 'NICE'], 'NOTE': ['CASUAL'], 'LAG': ['NOTICEABLE'], 'FUNCTIONALITY': ['EXCELLENT'], 'BRIDGE': ['FANTASTIC'], 'SMARTPHONE': ['PERFECT'], 'PC': ['PERFECT'], 'VERSION': ['FREE'], 'LIFE': ['GOOD']}"
ELECTRONICS,LAPTOPS,4,ASUS,positive,"  Before I begin I must add that I'm a big Chromebook fan boy. I have a Chromebook as my main computer. I bought this and another computer for my siblings as xmas presents and now they think I have favorites. Why? Because the other Chromebook, despite being the same price (if you must know, Acer Chromebook 11) feels and functions better and faster. This ASUS Chromebook looks cool, but the moment you pick it up and feel it buckle under its own weight, you easily realize it's too cheap. I was hoping to give them both a similar device just different colors. Nope. At this price point there are WAAAAY better Chromebooks available. Avoid this one unless you see it at a heavy discount. I would only recommend this specific Chromebook if the price falls to $120.Update: it's been a year of my sibling using this daily for high school and it still works. I've bought him a better computer and this this red Asus has been relegated to a beater computer I take with me when I don't feel like taking my expensive laptop somewhere (pixelbook).It gets the job done, I can't deny it that. I still think there are better options (especially now in 2019), but a year of heavy use has proven that in a pinch, this little red computer works fine.",1130,51,53,"  Before I begin I must add that I'm a big Chromebook fan boy.
I bought this and another computer for my siblings as xmas presents and now they think I have favorites.
Because the other Chromebook, despite being the same price (if you must know, Acer Chromebook 11) feels and functions better and faster.
This ASUS Chromebook looks cool, but the moment you pick it up and feel it buckle under its own weight, you easily realize it's too cheap.
I was hoping to give them both a similar device just different colors.
At this price point there are WAAAAY better Chromebooks available.
I would only recommend this specific Chromebook if the price falls to $120.Update: it's been a year of my sibling using this daily for high school and it still works.
I've bought him a better computer and this this red Asus has been relegated to a beater computer I take with me when I don't feel like taking my expensive laptop somewhere (pixelbook).It gets the job done, I can't deny it that.
I still think there are better options (especially now in 2019), but a year of heavy use has proven that in a pinch, this little red computer works fine.","I have a Chromebook as my main computer.
Why?
Nope.",Avoid this one unless you see it at a heavy discount.,"Cargo
Originalty
Packaging
Quality","{'COMPUTER': ['GOOD'], 'FUNCTION': ['GOOD'], 'CHROMEBOOKS': ['GOOD'], 'OPTION': ['GOOD']}"
ELECTRONICS,LAPTOPS,4,Acer,positive,"  I wanted a decent-sized laptop to use for traveling mainly for emails & some general Internet browsing as well. I went thru the variety of Windows 10 laptops & suddenly realized that Chromebook is a laptop as well, but more limited on what it can do compared to a Windows or Apple laptop. So I got this Acer Chromebook CB3-532 as my first Chromebook. Very nice looking laptop with a 15.6 inch screen, fairly easy to set up with a fairly good picture quality. It has a built-in webcam with mic, SD card reader, 1 USB 3.0 port & 1 USB 2.0 port plus HDMI port. It has 2 gigabytes of memory, 16 drive & headphone/speaker jack.  It does not however have a CD/DVD player/burner.  I attached an external mouse to use on this Chromebook....it works just fine. Laptop seems slightly sluggish but not a major issue for me....yet.  I have had this Acer Chromebook for a month now & still a learning curve as I have been using Windows laptops for over 12 years now......so indeed a big learning curve for me. It has wifi connectivity & you cannot hard wire into the Internet with this Chromebook, just by wifi....which is fine for me.There are no real icons on the desktop of Chromebook. Whatever I used on my Windows 7 laptop & had desktop icons....I simply will have to funnel it through Chrome browser already on this laptop. Battery life seems good at currently 7 hour life on a full charge and for the most part, this nifty Chromebook should do fine for me . 4 stars I give this interesting Chromebook mostly because it's a new thing for me to learn, but similar to my Android Smartphone....so not too bad, no desktop icons like a Android smartphone however. Needless to say, a learning experience for me with this Chromebook...keyboard a bit lacking features compared to a Windows/Apple keyboard. I may attach an external keyboard to see if the delete key works this way since the built-in keyboard does not have a delete key.",634,1039,244,"  I wanted a decent-sized laptop to use for traveling mainly for emails & some general Internet browsing as well.
Very nice looking laptop with a 15.6 inch screen, fairly easy to set up with a fairly good picture quality.
I attached an external mouse to use on this Chromebook....it works just fine.
Battery life seems good at currently 7 hour life on a full charge and for the most part, this nifty Chromebook should do fine for me .
4 stars I give this interesting Chromebook mostly because it's a new thing for me to learn, but similar to my Android Smartphone....so not too bad, no desktop icons like a Android smartphone however.","So I got this Acer Chromebook CB3-532 as my first Chromebook.
It has a built-in webcam with mic, SD card reader, 1 USB 3.0 port & 1 USB 2.0 port plus HDMI port.
It has 2 gigabytes of memory, 16 drive & headphone/speaker jack.
It does not however have a CD/DVD player/burner.
I have had this Acer Chromebook for a month now & still a learning curve as I have been using Windows laptops for over 12 years now......so indeed a big learning curve for me.
It has wifi connectivity & you cannot hard wire into the Internet with this Chromebook, just by wifi....which is fine for me.There are no real icons on the desktop of Chromebook.
Whatever I used on my Windows 7 laptop & had desktop icons....I simply will have to funnel it through Chrome browser already on this laptop.
Needless to say, a learning experience for me with this Chromebook...keyboard a bit lacking features compared to a Windows/Apple keyboard.
I may attach an external keyboard to see if the delete key works this way since the built-in keyboard does not have a delete key.","I went thru the variety of Windows 10 laptops & suddenly realized that Chromebook is a laptop as well, but more limited on what it can do compared to a Windows or Apple laptop.
Laptop seems slightly sluggish but not a major issue for me....yet.","Cargo
Originalty
Packaging
Quality","{'LAPTOP': ['EASY', 'NICE'], 'CHROMEBOOK': ['NIFTY', 'INTERESTING'], 'QUALITY': ['GOOD'], 'ICON': ['NOT BAD'], 'FEATURE': ['LACK']}"
ELECTRONICS,LAPTOPS,4,Apple,positive,"  Liked:- Long battery life (one charge WILL last all day, i.e. 16 hours. Personally tested true)- Speed (the new M1 processor really is fast)- Quiet (no fan but the laptop still does not get hot)- Light and portable- High resolution & bright displayDisliked:- As with other MacBooks, the keyboard is mediocre especially compared to laptops like Lenovo Thinkpad- Incompatible applications (With the M1 processor still being new, you might experience existing programs frequently crash. For example, Chrome keeps crashing) But I would guess there will be a fix soon",411,152,0,"Personally tested true)- Speed (the new M1 processor really is fast)- Quiet (no fan but the laptop still does not get hot)- Light and portable- High resolution & bright displayDisliked:- As with other MacBooks, the keyboard is mediocre especially compared to laptops like Lenovo Thinkpad- Incompatible applications (With the M1 processor still being new, you might experience existing programs frequently crash.","  Liked:- Long battery life (one charge WILL last all day, i.e.
16 hours.
For example, Chrome keeps crashing) But I would guess there will be a fix soon",,"Cargo
Originalty
Packaging
Quality","{'SPEED': ['TRUE'], 'DISPLAY': ['BRIGHT']}"
