Product Names,Product Prices,Product Ratings,User Reviews
"Apple MacBook Pro with Apple M1 Chip (13-inch, 16GB RAM, 256GB SSD Storage) - Space Gray (Latest Model) Z11B000E3","$1,459.94",5.0,"
  I had a 2016 MBP and noticed that when editing 4k video it was almost impossible. I am not an editing pro but its been a hobby for 18 years. I was very hopeful that upgrading to the new M1 chip would help that. my old computer was only an 8Gig so I upgraded to a 16Gig. even though Adobe PP does not support the M1 chip yet. it still was lightning fast. rendering video that used to take 4 hours now take on average 20 min. Now when I think about doing a video project I get excited and not discouraged. If you are looking for an upgrade. you will not be disappointed.
"
"Apple MacBook Pro with Apple M1 Chip (13-inch, 16GB RAM, 256GB SSD Storage) - Space Gray (Latest Model) Z11B000E3","$1,459.94",5.0,"
  INCREDIBLE how fast  it is
"
"Apple MacBook Pro with Apple M1 Chip (13-inch, 16GB RAM, 256GB SSD Storage) - Space Gray (Latest Model) Z11B000E3","$1,459.94",5.0,"
  Its exactly what I paid for. Brand new.
"
"Apple MacBook Pro with Apple M1 Chip (13-inch, 16GB RAM, 256GB SSD Storage) - Space Gray (Latest Model) Z11B000E3","$1,459.94",4.0,"
  Great laptop no complaints
"
"Apple MacBook Pro with Apple M1 Chip (13-inch, 16GB RAM, 256GB SSD Storage) - Space Gray (Latest Model) Z11B000E3","$1,459.94",5.0,"
  Exactly what I was looking for
"
"Apple MacBook Pro with Apple M1 Chip (13-inch, 16GB RAM, 256GB SSD Storage) - Space Gray (Latest Model) Z11B000E3","$1,459.94",5.0,"
  Muy buen producto
"
"Apple MacBook Pro with Apple M1 Chip (13-inch, 16GB RAM, 256GB SSD Storage) - Space Gray (Latest Model) Z11B000E3","$1,459.94",5.0,"
  What was once a difficult thing to accomplish on a Mac is now a dream! This thing plays games just like you would on your ps4. Comparable quality for sure. Not sure about ps5 since I don’t own one. But definitely enjoy it now as much as playing on my ps4.
"
"2020 Lenovo ThinkPad E15 15.6"" FHD Full HD (1920x1080) Business Laptop (Intel 10th Quad Core i5-10210U, 16GB DDR4 RAM, 512GB PCIe SSD) Type-C, HDMI, Windows 10 Pro + HDMI Cable",$965.00,4.0,"
  I bought this laptop so I could work at places other than my office. My more device-savvy kid picked the laptop and the specs, so if you’re looking for a technical review, this isn’t it. I’m running Office in whatever version they’re calling it these days. 365? My bread & butter is running QuickBooks Desktop (QBDT) and that program can be a bit of a resource hog. My new ThinPad has handled it beautifully. I liked that I could add the Lenovo app and customize my settings even more than what windows offers. This laptop is super light and thin - she’s practically a supermodel. I love that I can toggle a slide and a red dot shows me the camera is closed. The slide is a little hard to see because it’s black in black so I took a metallic silver sharpie and marked it. Problem solved. I like the feel of the 10-key, but I have smaller hands. Someone with larger hands might not find it roomy enough. The matte surface is pretty, but it definitely shows fingerprints. I was cleaning the cover pretty much daily. That got old quick so I got a cute skin. Always a work around.  Keep in mind, I’m not an expert, I’m an end user and I think this laptop  will do nicely. When the box arrived the charger was missing. I immediately emailed the seller and they sent one right out. Mistakes happen, but they were very responsive.
"
"2020 Lenovo ThinkPad E15 15.6"" FHD Full HD (1920x1080) Business Laptop (Intel 10th Quad Core i5-10210U, 16GB DDR4 RAM, 512GB PCIe SSD) Type-C, HDMI, Windows 10 Pro + HDMI Cable",$965.00,1.0,"
  Bought this computer for personal use, No Gaming, No Video watching, Just for internet access, occasional Word and Excel use.  Within the first hour of use, I got an error message "" Critical Process Died"" message, and everything froze up.  Had to turn the computer off and restart which cleared the message and allowed me to use it again.  Now I can't run for more than an hour without it CRASHING again and again with the same error message.  After searching the web for user blogs, I found that this problem has been around for years with Lenovo products.  I am returning this Lenovo Thinkpad E15, but come to find out I will be charged a 20% restocking fee for something that hasn't worked properly out of the box.  What a SCAM industry, BUYER BEWARE!!!!!
"
"2020 Lenovo ThinkPad E15 15.6"" FHD Full HD (1920x1080) Business Laptop (Intel 10th Quad Core i5-10210U, 16GB DDR4 RAM, 512GB PCIe SSD) Type-C, HDMI, Windows 10 Pro + HDMI Cable",$965.00,5.0,"
  This laptop is all it's cracked up to be. I'm using it primarily for recording multitrack audio. That takes power and memory. The E15 has both. So far it's just what I was looking for.
"
