Example Product Name,Product Details
Product0,"



SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  Laptop Computer Notebook 14-Inch Windows-10 – WINNOVO WinBook N140 6GB RAM 64GB ROM Intel Celeron Processor HD IPS Display Numeric Touchpad 5G WiFi HDMI (Space Grey)  3.5 out of 5 stars 8  Personal Computers $269.99$269.99 $289.99$289.99  $20.00 coupon applied at checkoutSave $20.00  with coupon Ships to Turkey



"
Product1,"

2020 Apple MacBook Air with Apple M1 Chip (13-inch, 8GB RAM, 256GB SSD Storage) - Space Gray  4.8 out of 5 stars 5,308  

"
Product2,"

Acer Nitro 5 Gaming Laptop, 9th Gen Intel Core i5-9300H, NVIDIA GeForce GTX 1650, 15.6"" Full HD IPS Display, 8GB DDR4, 256GB NVMe SSD, Wi-Fi 6, Backlit Keyboard, Alexa Built-in, AN515-54-5812  4.7 out of 5 stars 3,047  Personal Computers $734.99$734.99  Ships to TurkeyOnly 12 left in stock - order soon.More Buying Choices$649.99(37 used & new offers) Amazon Certified: Alexa Built-in

"
Product3,"

2020 Apple MacBook Pro with Apple M1 Chip (13-inch, 8GB RAM, 256GB SSD Storage) - Space Gray  4.8 out of 5 stars 1,901  $1,239.93$1,239.93 $1,299.00$1,299.00  More Buying Choices$1,011.12(5 used & new offers) 

"
Product4,"

Best Sellerin Traditional Laptop ComputersAcer Aspire 5 Slim Laptop, 15.6 inches Full HD IPS Display, AMD Ryzen 3 3200U, Vega 3 Graphics, 4GB DDR4, 128GB SSD, Backlit Keyboard, Windows 10 in S Mode, A515-43-R19L, Silver  4.6 out of 5 stars 30,164  Personal Computers $431.00$431.00  Ships to TurkeyMore Buying Choices$394.00(110 used & new offers) 

"
Product5,"

Best Sellerin 2 in 1 Laptop ComputersLenovo Flex 5 14"" 2-in-1 Laptop, 14.0"" FHD (1920 x 1080) Touch Display, AMD Ryzen 5 4500U Processor, 16GB DDR4, 256GB SSD, AMD Radeon Graphics, Digital Pen Included, Win 10, 81X20005US, Graphite Grey  4.4 out of 5 stars 3,905  Personal Computers $629.99$629.99  Ships to TurkeyMore Buying Choices$579.66(118 used & new offers) 

"
Product6,"

ASUS Laptop L210 Ultra Thin Laptop, 11.6” HD Display, Intel Celeron N4020 Processor, 4GB RAM, 64GB Storage, NumberPad, Windows 10 Home in S Mode  4.3 out of 5 stars 2,145  Electronics $229.99$229.99  Ships to TurkeyMore Buying Choices$217.99(71 used & new offers) 

"
Product7,"

ASUS F512JA-AS34 VivoBook 15 Thin and Light Laptop, 15.6” FHD Display, Intel i3-1005G1 CPU, 8GB RAM, 128GB SSD, Backlit Keyboard, Fingerprint, Windows 10 Home in S Mode, Slate Gray  4.5 out of 5 stars 3,530  Personal Computers $456.00$456.00  Ships to TurkeyMore Buying Choices$399.99(69 used & new offers) 

"
Product8,"

2019 Apple MacBook Pro (16-inch, 16GB RAM, 1TB Storage, 2.3GHz Intel Core i9) - Space Gray  4.7 out of 5 stars 4,352  $2,589.00$2,589.00 $2,799.00$2,799.00  Only 6 left in stock - order soon.More Buying Choices$1,952.45(19 used & new offers) 

"
Product9,"

Acer Chromebook Spin 311 Convertible Laptop, Intel Celeron N4020, 11.6"" HD Touch, 4GB LPDDR4, 32GB eMMC, Gigabit Wi-Fi 5, Bluetooth 5.0, Google Chrome, CP311-2H-C679  4.6 out of 5 stars 6,094  Personal Computers $261.02$261.02 $499.00$499.00  Ships to TurkeyMore Buying Choices$229.00(100 used & new offers) 

"
Product10,"

Acer Predator Helios 300 Gaming Laptop, Intel i7-10750H, NVIDIA GeForce RTX 3060 Laptop GPU, 15.6"" Full HD 144Hz 3ms IPS Display, 16GB DDR4, 512GB NVMe SSD, WiFi 6, RGB Keyboard, PH315-53-71HN  4.5 out of 5 stars 15  Personal Computers $1,348.99$1,348.99  Ships to Turkey

"
Product11,"

HP 15 Laptop, 11th Gen Intel Core i5-1135G7 Processor, 8 GB RAM, 256 GB SSD Storage, 15.6” Full HD IPS Display, Windows 10 Home, HP Fast Charge, Lightweight Design (15-dy2021nr, 2020)  4.5 out of 5 stars 524  Personal Computers $749.00$749.00  Ships to TurkeyMore Buying Choices$519.00(12 used & new offers) 

"
Product12,"



SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  Panasonic Toughbook CF-19 MK4, Intel i5-U540 @1.20GHz, 10.4"" XGA Touchscreen, 4GB, 128GB SSD, WiFi, Bluetooth, Windows 10 Professional (Renewed)  1.8 out of 5 stars 3  Personal Computers $399.00$399.00  Ships to TurkeyOnly 2 left in stock - order soon.



"
Product13,"



SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  HAOQIN HaoBook106 10.1 inch 2-in-1 Laptop Computer Touchscreen with Detachable Keyboard Intel Atom 2GB RAM 32GB ROM HD IPS Display Windows 10 Black  3.5 out of 5 stars 68  Personal Computers $189.99$189.99 $209.99$209.99  Ships to Turkey



"
Product14,"



SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  2021 Newest Lenovo IdeaPad 15.6"" HD Touchscreen Laptop Computer, 4 Core Intel Core i5-1035G1 1.00 GHz, 12GB RAM, 512GB SSD, No DVD, Webcam, Bluetooth, Wi-Fi, HDMI, Windows 10 S | VATTE HDMI Cable  3.8 out of 5 stars 19  Personal Computers $699.00$699.00  Ships to TurkeyOnly 8 left in stock - order soon.



"
Product15,"

Acer Aspire 5 A515-55-56VK, 15.6"" Full HD IPS Display, 10th Gen Intel Core i5-1035G1, 8GB DDR4, 256GB NVMe SSD, Intel Wireless WiFi 6 AX201, Fingerprint Reader, Backlit Keyboard, Windows 10 Home  4.6 out of 5 stars 1,246  Personal Computers $549.99$549.99  Ships to Turkey

"
