Example Product Name,Product Details
Product 0," ASUS ZenBook Duo UX481 14” FHD NanoEdge Bezel Touch Display, Intel Core i7-10510U CPU, 8GB RAM, 512GB PCIe SSD, Innovative ScreenPad Plus, Windows 10 Home, Celestial Blue, UX481FA-DB71T  4.5 out of 5 stars 199  Personal Computers $1,269.98$1,269.98  Ships to TurkeyOnly 1 left in stock - order soon.More Buying Choices$999.66(19 used & new offers) "
Product 1," Lenovo ThinkPad X1 Carbon 7th Generation Ultrabook: Core i7-8565U, 16GB RAM, 512GB SSD, 14"" FHD Display, Backlit Keyboard  4.1 out of 5 stars 95  Personal Computers $1,799.00$1,799.00  Ships to TurkeyOnly 2 left in stock - order soon.More Buying Choices$1,289.00(8 used & new offers) "
Product 2," HP 2018 Elitebook 840 G1 14inch HD LED-backlit anti-glare Laptop Computer, Intel Dual-Core i5-4300U up to 2.9GHz, 8GB RAM, 500GB HDD, USB 3.0, Bluetooth, Window 10 Professional (Renewed)  4.0 out of 5 stars 942  Personal Computers $377.98$377.98  Ships to TurkeyOnly 12 left in stock - order soon.More Buying Choices$324.99(13 new offers) "
Product 3," Lenovo Chromebook Duet 2-in-1 10.1 WUXGA (1920 x 1200) Display, MediaTek Helio P60T, 4GB LPDDR4X RAM, 64GB SSD, Integrated ARM G72 MP3 Graphics, Chrome OS, ZA6F0031US, Ice Blue+Iron Grey (Renewed)  4.5 out of 5 stars 95  Electronics $197.99$197.99  Ships to TurkeyMore Buying Choices$189.00(14 new offers) "
Product 4," Apple MacBook Pro MGXA2LL/A 15-Inch Laptop with Retina Display (2.2 GHz Intel Core i7 Processor, 16GB RAM, 256GB SSD) (Renewed)  4.3 out of 5 stars 1,255  Personal Computers $679.79$679.79  Ships to TurkeyOnly 1 left in stock - order soon.More Buying Choices$659.99(8 new offers) "
Product 5," OMEN 15 Gaming Laptop, NVIDIA GeForce RTX 2070 Super Max-Q, Intel Core i7-10750H, 32 GB DDR4 RAM, 512 GB PCIe NVMe SSD, 15.6"" Full HD 300Hz, Windows 10 Home, RGB Keyboard (15-dh1019nr, 2020 Model)  4.2 out of 5 stars 105  Personal Computers $1,605.00$1,605.00  Only 10 left in stock - order soon.More Buying Choices$1,465.00(7 used & new offers) "
Product 6," GIGABYTE AERO 15 OLED KC - 15.6"" - Intel Core i7-10870H - NVIDIA GeForce RTX 3060 6GB GDDR6 - 16GB RAM - 512GB SSD - Windows 10 Pro - Creator & Gaming Laptop (AERO 15 OLED KC-8US5130SP)  4.3 out of 5 stars 14  Personal Computers $1,599.99$1,599.99  Ships to TurkeyOnly 8 left in stock - order soon."
Product 7," 2021 Newest HP 14"" HD Laptop Light-Weight, AMD 3020e(Up to 2.6GHz), 8GB RAM, 256GB SSD + 64GB eMMC, 1 Year Office 365, WiFi, Bluetooth 5, USB Type-A&C, HDMI, Webcam, Win10, w/Ghost Manta Accessories  4.6 out of 5 stars 14  White $489.00$489.00  Ships to TurkeyOnly 3 left in stock - order soon."
Product 8," HP Stream Laptop PC 11.6"" Intel N4000 Quad Core 4GB DDR4 SDRAM 32GB eMMC (Renewed)  4.2 out of 5 stars 86  White $209.96$209.96 $266.80$266.80  Ships to TurkeyOnly 16 left in stock - order soon."
Product 9," Dell XPS7390 13"" InfinityEdge Touchscreen Laptop, Newest 10th Gen Intel i5-10210U, 8GB RAM, 256GB SSD, Windows 10 Home  4.5 out of 5 stars 85  Personal Computers $805.50$805.50  Ships to TurkeyOnly 3 left in stock - order soon.More Buying Choices$649.00(40 used & new offers) "
