Ratings,Comments
5,
5,İlk izlenimim sade şık ve hızlı bir cihaz.  Yarım günden fazla oldu şarjı yüzde 20 düştü sadece. Güneşli hava da ekran görünü net çözünürlüğü oldukça iyi. Çok hafif bir ürün.
5,"Spor yapanlar için ideal bi ürün, çok beğendim. Teslim edilmesi gereken günden bi gün önce teslim edildi teşekkürler aras kargo ve hepsiburada 🤗"
5,"Ertesi gün ürün elimdeydi, orjinal ürün boyut olarak ekran kullanım daha rahat olsun diye 42 mm aldım bileği ince olan bayanlar da tercih edebilir bence çünkü bileklerim ince ve kaba durmadı gayet hoş, bir üst modeli ile arasında benim için önemli sayılacak farklar olmadığından dolayı serie 3 tercih ettim kullanımı gayet güzel ve pratik, gayet hafif bir ürün, iki boy kordon çıkıyor  paket içerisinden , fiyat ise mağazaya kıyasla biraz daha uygun, garanti belgesi içindeydi ve müşteri hizmetleri fatura basıldığında garanti süresinin de başladığını söyledi, teşekkürler"
5,"Ürünü önceden almıştım ama şimdi değerlendirme yapayım dedim. Genel olarak güzel bir cihaz. Telefonunuzu cebinden çıkarmadan Aramayı cevaplayabilme, arama, mesajları görebilme ve cevaplayabilme, müziği değiştirme, Mailleri kontrol etme, harita gibi ayrıcalığı var. Birde saatin temel özelliği antrenman var. Antrenman uygulamasından hangi sporu yapıyorsanız onu seçip yaptığınız hareketi algılayıp kaç kalori yaktığınızı hesaplıyor. Adım sayma kalp atış hızınızı ölçebilme kalori hesabı gibi birçok özelliği var."
5,"Ürün kargoya verildikden sonra hepsijet tarafından 1 gün içerisinde geldi. Elime salı günü ulaştı. Çarşambadan beri kullanmaktayım  1 hafta olucak neredeyse,  kullandıkdan sonra yazmak istedim. Geldiği ilk gün kullanamadım akşama kadar çünkü ios son sürüm yapmamızı istyor ben iphone umu acıkcası güncellemiyordum uzun zamandır saat yüzünden güncellemek zorunda kaldım. Güncellemeler vs derken o gün tamamen bitti çarşamba kullanmaya başladım. Öncelikle saat her işinizi görüyor , antreman takibi , kalp atış takibi , gelen sms whatsapp insta mesajlarına sesli cevap verme özelliği var. (Sesliden kasıt siz konuşuyorsunuz o kelimelere cevirip yazı olarak karşıya gönderiyor. Sorunsuz sesi çeviriyor hiç bir kelimede problem yaşamadım) onun dısında birine sms atabilirsiniz , birini arayabilirsiniz. Hoporler kapalı ortamda cok iyi acık ortamda kulaga yaklaştırıyorsunuz biraz. Mikrofon kimle konuştuysam mükemmel dedi. Hey siri özelligi var o cok iyi hey siri şunu ara hey siri bunu ara diyebilirsiniz yada hey siri gelen bildirimi yanıtla gibi vs... sarj konusuna gelirsek 1.5 gün gidiyor. Kalp atıs sensoru sürekli acık konumda bu arada ... saatte tek ama tek pişman olduğum nokta. Saat arayüzü olarak watch4,5,6 ve se de cok fazla secenek var iken watch 3 icin saat arayüzleri ne yazıkki kısıtlı.. bu yüzden 1 puan kırıyorum. Bu arada kordonu cok rahat saat cok hafif bazen saat kolumda oldugunu unutuyorum.."
5,Öncelikle İçinden geçtiğimiz şu günlerde 2 gün gibi kısa bir sürede ürünü bana ulaştırdığı için firmaya çok teşekkürler.ürünü alırken 5 serisi ile kararsızdım fakat aradaki fiyat farkını teknik özellik olarak karşılanmadığını sadece ekran boyutu ve renk özellikleri açısından fark oluştuğunu gördüğüm için kararımı 3 serisinden yana kullandım.iyide yapmışım en azından şöyle söyliyeyim bana yetti.teşekkürler
5,"ben iphone 6 plus için aldım. saat ilk açılışta güncelleme istedi. telefonum, saatin güncellemesini kontrol ederken ios 13 güncellemesi alamadığı için saatin güncellenmesi tamamlanamadı ve saatin de güncellemesi tamamlanmadı. bundan dolayı da eşleşme tamamlanmadı ve saati kullanamadım! deneme amaçlı olarak iphone 6s plus telefonda denedim. bütün güncellemelerini yaklaşık 2 saatte tamamladıktan sonra saat eşleşti ve kullanıma hazır hale geldi. saat markasından dolayı güzel ama bu datayı açıklamaya yazsalar olurdu.."
5,Çok profesyonel bir alışveriş oldu. Çok teşekkür ederim. Memnuniyetim zirve. Herkese tavsiye ederim. Şarj aleti ve yedek kordonu da içinde.
5,Saat kaliteli zaten onu konuşmaya gerek yok. Hızlı ve güzel geldi saatimiz. Memnunum her türlü sağlıklı bilgiyi yükleyip kullanabilirsiniz
5,Çok hızlı Kargo teşekkürler ürün belli zaten
5,"HepsiJET hizmetinize çok teşekkür ederim. Perşembe 10:00’da sipariş verdim, cuma günü 12:30’da elime ulaştı. Üstelik Covid-19 olmasına rağmen bu kadar hızlı teslimat için harikasınız! Satıcı eğer HEPSİBURADA ise bide HepsiJET teslimatı varsa keyifler yerinde :) 
Teşekkürler HEPSİBURADA 👍🏻"
5,Saati eşime aldım çok beğendik 38 le 42 mm arasında kalmıştık ama bunu daha çok beğendik çok şık ve güzel  bi saat tavsiye edilir  severek kullanıyor tşkrler Hepsiburada 👍
5,"Bileğim ince olmasına rağmen güzel durdu. İçerisinden kısa kordon da çıkıyor ben onu kullandım. Kargo efsane, satın aldığım gün kargoya verildi ve bir gün sonra Hepsiexpress ile evimdeydi. Daha fazla para vermeye gerek yok zaten tüm özellikleri sürekli kullanacağınızı sanmıyorum"
5,"Beklediğim gibi geldi. Gayet iyi bir saat, apple telefonunuz varsa apple saat almalısınız kesinlikle. Eklemek istediğim 42mm erkeklere çok uygun 38mm alırsanız bileğiniz kalınsa üzebilir. Bir ek daha apple kutudan adaptörü çıkarmış vallahi yazık bir adaptörü çok görüyorsunuz müşterilere."
5,"Gerçekten çok güzel , özellikle bu salgın günlerinde en hızlı şekilde elime ulaştı . Eşime hediye aldım çok beğendi teşekkürler Hepsiburada"
5,Mükemmel tek kelimeyle böyle kötü  zamanda tam zamanında teslimat ve özenli kargo için çok teşekkür ederim.
5,"İyi ki iyi ki iyiki almışım. İnce bilekli bi bayanım ancak ekran görüntüsü iyi olsun diye 42 aldım ve gayet iyi oldu. Arama cevaplama mesaj yanıtlama, herşey o kadar iyiki bence değer. Ürün orijinal ve hemen elime ulaştı. Teşekkürler hepsiburada ."
5,"İnce bir bileğe sahip olduğum için 38mm ile 42mm arasında kararsızlık yaşadım ama büyük ekranın daha iyi olacağını düşünüp 42mm olanını aldım. İyi ki öyle yapmışım, benim gibi kararsız olanlar hiç düşünmeden 42mm olanını alsın çok memnunum 👍🏼"
5,Şarjı az gidiyo 1 gün. Onun haricinde iyi iphone varsa çok çok iyi. Telefona bakma derdi bitti. Mesaj arama burdan görüyorum. Sağlık kısmını pek keşfedemedim. Allah isteyen herkese versin güzel teknoloji
5,Ürünümü sağlam ve sorunsuz bir şekilde teslim aldım saat gerçekten çok güzel ve kaliteli herkese tavsiye ederim.
