Ratings,Comments
5,
5,Ürün çok başarılı. 1tb ssd bulunmakta. ram 16gb tek slot olarak geliyor. 2x8 değil.çok beğendim.
5,"Görünüşü ve malzeme kalitesi üst düzey. Ekran kalitesi aşırı derecede iyi, karakterler vs o kadar iyi görünüyor ki artık başka ekranda veya tvde bir şey izleyesim gelmiyor. Yıllardır neden böyle ekranlar üretmemişler diye merak ediyorum. Hoparlör ses kalitesi mükemmel, 5+1 sistem kalitesi beklemeyin ama bir laptopta daha iyi bir ses kalitesi görmedim, sizi fazlasıyla tatmin edecek kalitede ve seviyede. Overwatch oyuncusuyum. Performansa dayalı ayarlar yapınca 230 üzeri fps alıyorum. Her maç oyunu taşıyan adam oldum, kill sayılarım aşırı arttı ve fps çok olunca daha kolay aim aldığımı rahatlıkla hissediyorum. Eski bilgisayarıma göre ciddi bir oynanış farkı yaşadım. Isınma problemi yok ama uzun ömürlü olması açısından soğutucu ile kullanıyorum. Gören herkes de bayılıyor, RTX 3060 yeterli diyorsanız düşünmeden alın. Rtx 3070li istiyorsanız da diğer marka ve modelleri boşverin, Rog Strix'in 3070li modelini alın. Düz Rog demiyorum ama, mutlaka Strix alın bence. MSI, hp, monster gibi markalar bunun yanında çöp kalıyormuş bunu net anladım. Her açıdan alabileceğiniz en iyi laptop, parasını kuruşu kuruşuna hak ediyor 👍"
5,Gerçekten Mükemmel Casper iade  etim bunu aldım mutluyum asus başka inceleme videosu tufansaydam youtube kanalında olucak
5,"Ürünle alakalı tek bir sorun yaşadım o da ekranın donması idi ,görev yöneticisi dahi açılmadı sonra power tuşuna basılı tuttum kapanana kadar ve tekrar açtım işlerime devam ettim. Aynı sorunu bir daha yaşamadım, umarım yaşamam . Tek sorun bu idi , iyi yanları ise çok .Yorumlarda belirtmiş kullanıcılar. Ben hızından, şarj süresinden ve oyunlardaki performansından çok memnunum.  Tam bir fiyat performans ürünü ."
5,indirimdeyken aldım battlefield 5 gta 5 gibi oyunlarda full ayarlarda sorunsuz iş çıkarıyor fps değerlerine bakmadım yayıncı değilim ama hiçbir sıkıntı yaşamadım makine akıyor. Malzeme kalitesi çok güzel. Değinen olmamış ama arkadaki rog amblemi aydınlatmalı. İndirimli fiyatı gerçekten rakipsiz dostlarıma gözüm kapalı tavsiye ederim.
5,bu fiyata bulabileceğiniz en iyi ürün. Gayet sağlam. Ekran ve renkler çok iyi. Tek eksiği Webcam i yok.
5,bu fiyatlarda alınabilecek en iyi bilgisayar. Şarj olarak da uzun süre dayanıyor. İşlemci olarak da çok çok iyi bir işlemcisi var. Sadece webcam yok fakat ben beğendim. Tavsiye ederim.
5,"Mükemmel, fiyatına göre piyasanın en iyisi denebilir."
5,Fiyat performans ürünü
5,Mükemmel
5,"Fiyatına oranla son derece güzel ve alınabilir bir laptop, kasa çok güzel, donanımı harika tek eksik yanı ekranının biraz sönük kalması ama belirgin bir eksik değil zannımca. Tavsiye edilir."
5,"Ürünün 3060RTX in tam anlamıyla çalışmamasının iki temel nedeni var, birincisi Ram tek 16GB, çift kanallı olmadığı için ordan bir yavaşlama oluyor bunu internette araştırabilirsiniz. Diğeri de Asusun kendi yazılımlarının yüklenmesi gerekli. Onun haricinde ürün oldukça iyi, ekran kalitesi biraz düşük ama bunu zaten oyunlarda anlamanız imkansız. 144 Hz olması oyunlarda asıl avantaklı nokta."
5,Bugün geldi cihaz ve beklediğimden daha kaliteli malzemesi.
5,"Dış Yapı: 
Kasa yapısı çok kaliteli, mekanik RGB ayarlanabilir modlu klavye de çok iyi. Ethernet, hdmi, usb-c portları arkada, iki usb portu da sol yanda bulunuyor. Klavye 
üzerinde herhangi bir ısı artışı farketmedim.

Performans: 
130W güç bütçesine sahip bir RTX3060 içeriyor. kağıt üzerinde çok iyi bir değer olsa da desktop muadillerinden beklediğiniz performansı beklemeyin. 
Cihaz DDOS ile geliyor tüm ASUS yazılımlarını da kendiniz kurmalısınız. bu yazılımlardan en önemlisi Armoury Crate. Armoury Crate size 5 ayrı performans modu ve farklı RGB klavye modlarına erişimini sağlıyor. Silent modda GPU saat hızı 1200Mhz a kadar düşürüyor. Normal modda 1700Mhz, Turbo modda 1925Mhz'e kadar çıkarıyor. 
Armoury Crate yazılımını kurup performans modlarını  belirlemeden önce cihazın performans değerleri şüphelendirecek kadar kötüydü.  Ancak performans modlarına erişince internette yer alan benzer donanımdaki cihazların benchmark değerlerine uygun sonuçlar almaya başladım.

Warzone Ultra RTX on 70-90 FPS
Warzone Med-High RTX off 100-120 FPS
AC Valhalla Ultra-Very High 70-80 FPS
Cyberpunk 2077 High RTX on 45-50 FPS
Cyberpunk 2077 Med-High RTX off 60-70 FPS


Cihazın olumsuz yanları:
   * 16GBx1 tekil ram ile geliyor.Dual Ram performansını alabilmeniz için 16gb DDR4 3200mhz bir ram daha takviye etmelisiniz. Neyseki boş slotu var.

   * Cihazda Mux switch yok,  dgpu ne kadar iyi olursa olsun, igpu güç bütçesinden bir miktar harcama yapıyor ve dgpu'nun tüm çıktıları igpu üzerinden ekrana yansıtılıyor. gpu odaklı uygulamalarda bu durum performans kaybı yaşatıyor. Harici ekran bağlamak da bir çözüm olmuyor, Çünkü HDMİ çıkışı da igpu'dan geliyor.

*Bir çok forumda ekran kalitesinden dem vurulmuş. Cihazı harici bir 27"" ekrana bağlayarak (MSI Optix G271) kullanıyorum. Notebook'un ekranı harici ekrandan daha kötü bir çıkış vermiyor ama bu cihazın albenisi olacak bir kalitede de değil.  Bu durum tamamen beklenilerinize bağlı."
5,"İşlemci baya iyi, üst düzey bir çok masaüstü islemciyi geride bırakıyor. Rtx 3060 zaten söylemeye gerek yok bence. Ekran işlemci+ekran kartına göre sönük kalsa da ortalama bir kullanıcı için gayet yeterli görüntü kalitesinde, çerçeveler mükemmel. Tasarım anlamında 10/10 alır. Kısacası cihaz son derece güzel. Artan fiyatlara değer mi orasını muadil cihazlarla kıyaslayıp karar vermek gerek."
5,Ekranı çok iyi değil ama onun dışında fiyat performans ürünü
5,Ekranı hariç herşeyi mükemmel
5,"Ürünü alalı 2 gün oldu. GPU %70 %80  verimlilikte çalışıyor. 3060'tan beklediğiniz verimi kesinlikle alamıyorsunuz.  Kasası ortalama sağlamlıkta fakat hoş. Ekran kalitesi de orta. SSD gayet iş görüyor. Bunların dışında sizlerle bir kaç oyunda aldığım FPS'i paylaşmak isterim.

COD WZ- Orta-yüksek ayarlarda 70-90 FPS
LoL- Yüksek Ayarlar 200 FPS.

Paketlemesi Asusun kendi kutusu gayet sağlamdı fakat hepsiburadanın kutusu çok kötüydü. Zarara mahal verebilirdi. Bir kaç gün daha deneme yapıp iade edebilirim. Performans olarak kesinlikle beklediğimi vermedi. Yani 3060 ekran kartına aldanmamanızı öneririm."
5,bu laptopu 23 nisan 2021 de aldım rtx 3060 a göre çok düşük fps ler alıyorum driverler güncel valorant 140 150 fps rainbow six 130 144 memnun değilim performansı çok kötü
